ativo|target|data|target_real|resultado_real|esmble_jan_tot|esmble_jan_par|in_precision
VALE3|1.01|2021-06-17|1|0.01|1|1|1.0
VALE3|1.01|2021-06-18|1|0.01|1|1|1.0
VALE3|1.01|2021-06-21|1|0.01|1|1|1.0
VALE3|1.01|2021-06-22|1|0.01|1|1|1.0
VALE3|1.01|2021-06-23|1|0.01|0|1|1.0
VALE3|1.01|2021-06-24|1|0.01|1|1|1.0
VALE3|1.01|2021-06-25|0|-0.0173083755102603|1|1|1.0
VALE3|1.01|2021-06-28|1|0.01|0|0|0.0
VALE3|1.01|2021-06-29|1|0.01|1|1|1.0
VALE3|1.01|2021-06-30|0|0.003174326928981|0|0|0.0
VALE3|1.01|2021-07-01|1|0.01|0|0|0.0
VALE3|1.01|2021-07-02|1|0.01|0|0|0.0
VALE3|1.01|2021-07-05|1|0.01|0|0|0.0
VALE3|1.01|2021-07-06|1|0.01|1|1|1.0
VALE3|1.01|2021-07-07|1|0.01|1|1|1.0
VALE3|1.01|2021-07-08|0|0.0014742837437606|1|1|1.0
VALE3|1.01|2021-07-12|1|0.01|1|1|1.0
VALE3|1.01|2021-07-13|0|-0.0352657868570297|0|1|1.0
VALE3|1.01|2021-07-14|1|0.01|1|1|1.0
VALE3|1.01|2021-07-15|0|-0.0081498137617044|1|1|1.0
VALE3|1.01|2021-07-16|1|0.01|1|1|1.0
VALE3|1.01|2021-07-19|1|0.01|1|1|1.0
VALE3|1.01|2021-07-20|1|0.01|1|1|1.0
VALE3|1.01|2021-07-21|1|0.01|0|1|1.0
VALE3|1.01|2021-07-22|1|0.01|0|1|1.0
VALE3|1.01|2021-07-23|1|0.01|1|1|1.0
VALE3|1.01|2021-07-26|1|0.01|0|1|1.0
VALE3|1.01|2021-07-27|1|0.01|0|1|1.0
VALE3|1.01|2021-07-28|1|0.01|1|1|1.0
VALE3|1.01|2021-07-29|0|-0.0087216988191257|1|1|1.0
VALE3|1.01|2021-07-30|1|0.01|1|1|1.0
VALE3|1.01|2021-08-02|1|0.01|0|1|1.0
VALE3|1.01|2021-08-03|1|0.01|1|1|1.0
VALE3|1.01|2021-08-04|1|0.01|1|1|1.0
VALE3|1.01|2021-08-05|0|-0.0052799189902876|1|1|1.0
VALE3|1.01|2021-08-06|1|0.01|1|1|1.0
VALE3|1.01|2021-08-09|1|0.01|1|1|1.0
VALE3|1.01|2021-08-10|0|-0.0126145852670863|0|1|1.0
VALE3|1.01|2021-08-11|0|-0.0201465221964184|1|1|1.0
VALE3|1.01|2021-08-12|0|-0.057338188931701|1|1|1.0
VALE3|1.01|2021-08-13|1|0.01|0|1|0.0
VALE3|1.01|2021-08-16|1|0.01|1|1|1.0
VALE3|1.01|2021-08-17|0|-0.0902212968636844|1|1|1.0
VALE3|1.01|2021-08-18|1|0.01|1|1|1.0
VALE3|1.01|2021-08-19|1|0.01|0|1|1.0
VALE3|1.01|2021-08-20|1|0.01|0|1|1.0
VALE3|1.01|2021-08-23|1|0.01|1|1|1.0
VALE3|1.01|2021-08-24|1|0.01|1|1|1.0
VALE3|1.01|2021-08-25|1|0.01|1|1|1.0
VALE3|1.01|2021-08-26|1|0.01|1|1|1.0
VALE3|1.01|2021-08-27|0|-0.0226145621339337|1|1|1.0
VALE3|1.01|2021-08-30|1|0.01|1|1|1.0
VALE3|1.01|2021-08-31|1|0.01|1|1|1.0
VALE3|1.01|2021-09-01|1|0.01|1|1|1.0
VALE3|1.01|2021-09-02|0|-0.0545127709918369|1|1|1.0
VALE3|1.01|2021-09-03|0|-0.0214676396598644|1|1|1.0
VALE3|1.01|2021-09-06|0|-0.0177257267541479|0|1|1.0
VALE3|1.01|2021-09-08|1|0.01|0|0|0.0
VALE3|1.01|2021-09-09|0|-0.0394723000208291|0|0|0.0
VALE3|1.01|2021-09-10|0|-0.0714889156721776|0|1|0.0
VALE3|1.01|2021-09-13|0|-0.0945874942051978|0|1|0.0
VALE3|1.01|2021-09-14|0|-0.112590547483578|0|0|0.0
VALE3|1.01|2021-09-15|0|-0.0697777326452271|0|0|0.0
VALE3|1.01|2021-09-16|1|0.01|0|0|0.0
VALE3|1.01|2021-09-17|1|0.01|0|0|0.0
VALE3|1.01|2021-09-20|1|0.01|1|1|1.0
VALE3|1.01|2021-09-21|1|0.01|0|1|1.0
VALE3|1.01|2021-09-22|1|0.01|0|1|1.0
VALE3|1.01|2021-09-23|1|0.01|0|1|1.0
VALE3|1.01|2021-09-24|0|-0.0300254426961446|1|1|1.0
VALE3|1.01|2021-09-27|1|0.01|1|1|1.0
VALE3|1.01|2021-09-28|1|0.01|1|1|1.0
VALE3|1.01|2021-09-29|1|0.01|1|1|1.0
VALE3|1.01|2021-09-30|0|0.0040390927202842|0|0|0.0
VALE3|1.01|2021-10-01|1|0.01|0|1|1.0
