ativo,target,data,melhor_precision,valor_melhor_precision,concordancia_valor
PETR4,1.02,2022-05-24,RandomForest_75,0.0,0.0
PETR4,1.015,2022-05-24,RandomForest_90,1.0,1.0
PETR4,1.01,2022-05-24,RandomForest_90,1.0,1.0
PETR4,1.02,2022-05-25,RandomForest_90,1.0,1.0
PETR4,1.015,2022-05-25,RandomForest_90,1.0,1.0
PETR4,1.01,2022-05-25,RandomForest_75,1.0,1.0
PETR4,1.02,2022-05-26,RandomForest_60,1.0,1.0
PETR4,1.015,2022-05-26,RandomForest_60,1.0,1.0
PETR4,1.01,2022-05-26,RandomForest_90,1.0,1.0
PETR4,1.015,2022-05-27,RandomForest_90,1.0,1.0
PETR4,1.01,2022-05-27,RandomForest_90,1.0,1.0
PETR4,1.02,2022-05-27,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.01,2022-05-30,"RandomForest_75, RandomForest_90","1.0, 1.0",1.0
PETR4,1.02,2022-05-30,"RandomForest_75, RandomForest_90","0.0, 0.0",0.0
PETR4,1.015,2022-05-30,RandomForest_90,0.0,0.0
PETR4,1.01,2022-05-31,"RandomForest_75, RandomForest_90","1.0, 1.0",1.0
PETR4,1.02,2022-05-31,"RandomForest_60, RandomForest_90","0.0, 0.0",0.0
PETR4,1.015,2022-05-31,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 0.0, 0.0",0.0
PETR4,1.01,2022-06-01,RandomForest_90,1.0,1.0
PETR4,1.02,2022-06-01,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.015,2022-06-01,"RandomForest_75, RandomForest_90","1.0, 0.0",0.0
PETR4,1.01,2022-06-02,RandomForest_75,1.0,1.0
PETR4,1.02,2022-06-02,"RandomForest_60, RandomForest_90","1.0, 1.0",1.0
PETR4,1.015,2022-06-02,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.02,2022-06-03,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.015,2022-06-03,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.01,2022-06-03,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.015,2022-06-06,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.02,2022-06-06,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.01,2022-06-06,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.015,2022-06-07,RandomForest_75,1.0,1.0
PETR4,1.02,2022-06-07,"RandomForest_60, RandomForest_75, RandomForest_90","0.0, 0.0, 1.0",0.0
PETR4,1.01,2022-06-07,RandomForest_60,1.0,1.0
PETR4,1.02,2022-06-08,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 0.0",0.0
PETR4,1.01,2022-06-08,RandomForest_75,1.0,1.0
PETR4,1.015,2022-06-08,RandomForest_90,1.0,1.0
PETR4,1.01,2022-06-09,RandomForest_90,1.0,1.0
PETR4,1.015,2022-06-09,RandomForest_90,1.0,1.0
PETR4,1.02,2022-06-09,RandomForest_60,1.0,1.0
PETR4,1.01,2022-06-10,RandomForest_90,1.0,1.0
