ativo,target,data,RNA_60,RNA_75,RNA_90,RandomForest_60,RandomForest_75,RandomForest_90,SVC_60,SVC_75,SVC_90,melhor_precision
PETR4,1.01,2022-06-08,0.8833333333333333,0.8493150684931506,0.8777777777777778,0.9636363636363636,1.0,0.9753086419753086,0.8833333333333333,0.8533333333333334,0.8777777777777778,RandomForest_75
PETR4,1.015,2022-06-08,0.847457627118644,0.8133333333333334,0.8444444444444444,0.864406779661017,0.9384615384615383,0.9743589743589745,0.85,0.8133333333333334,0.8444444444444444,RandomForest_90
PETR4,1.01,2022-06-09,0.8833333333333333,0.863013698630137,0.8888888888888888,0.8983050847457628,0.8783783783783784,0.9876543209876544,0.8833333333333333,0.8666666666666667,0.8888888888888888,RandomForest_90
PETR4,1.015,2022-06-09,0.85,0.8266666666666667,0.8555555555555555,0.864406779661017,0.8611111111111112,0.9871794871794872,0.85,0.8266666666666667,0.8555555555555555,RandomForest_90
PETR4,1.02,2022-06-09,0.75,0.7076923076923077,0.6825396825396826,1.0,0.9807692307692308,0.8985507246376812,0.75,0.68,0.7222222222222222,RandomForest_60
PETR4,1.01,2022-06-10,0.8833333333333333,0.88,0.9,0.8983050847457628,0.8918918918918919,1.0,0.8833333333333333,0.88,0.9,RandomForest_90
PETR4,1.015,2022-06-10,0.85,0.84,0.8666666666666667,0.9107142857142856,0.8857142857142857,1.0,0.85,0.84,0.8666666666666667,RandomForest_90
PETR4,1.02,2022-06-10,0.75,0.6956521739130435,0.7386363636363636,1.0,0.847457627118644,1.0,0.75,0.68,0.7333333333333333,RandomForest_60 | RandomForest_90
PETR4,1.01,2022-06-13,0.8833333333333333,0.8676470588235294,0.9,1.0,1.0,0.9529411764705882,0.8833333333333333,0.88,0.9,RandomForest_60 | RandomForest_75
PETR4,1.02,2022-06-13,0.7142857142857143,0.7014925373134329,0.7380952380952381,1.0,1.0,1.0,0.7333333333333333,0.68,0.7333333333333333,RandomForest_60 | RandomForest_75 | RandomForest_90
PETR4,1.015,2022-06-13,0.85,0.84,0.8666666666666667,0.9107142857142856,1.0,0.896551724137931,0.85,0.84,0.8666666666666667,RandomForest_75
PETR4,1.02,2022-06-14,0.74,0.7931034482758621,0.7415730337078652,1.0,0.9622641509433962,0.943661971830986,0.7333333333333333,0.6933333333333334,0.7444444444444445,RandomForest_60
PETR4,1.015,2022-06-14,0.8421052631578947,0.84,0.8666666666666667,1.0,0.953846153846154,0.9285714285714286,0.8333333333333334,0.84,0.8666666666666667,RandomForest_60
PETR4,1.01,2022-06-14,0.8833333333333333,0.8783783783783784,0.898876404494382,0.8983050847457628,0.8918918918918919,0.9310344827586208,0.8833333333333333,0.88,0.9,RandomForest_90
PETR4,1.02,2022-06-15,0.7333333333333333,0.7419354838709677,0.7444444444444445,0.9555555555555556,1.0,1.0,0.7333333333333333,0.7066666666666667,0.7444444444444445,RandomForest_75 | RandomForest_90
PETR4,1.015,2022-06-15,0.8333333333333334,0.8533333333333334,0.875,1.0,0.8888888888888888,0.896551724137931,0.8333333333333334,0.8533333333333334,0.8666666666666667,RandomForest_60
PETR4,1.01,2022-06-15,0.8833333333333333,0.8933333333333333,0.9,0.9636363636363636,0.9054054054054054,0.9642857142857144,0.8833333333333333,0.8933333333333333,0.9,RandomForest_90
PETR4,1.02,2022-06-17,0.7288135593220338,0.6666666666666666,0.7444444444444445,0.8431372549019608,0.9818181818181818,1.0,0.7333333333333333,0.72,0.7444444444444445,RandomForest_90
PETR4,1.015,2022-06-17,0.85,0.8666666666666667,0.8666666666666667,0.9272727272727272,0.9027777777777778,0.951219512195122,0.85,0.8666666666666667,0.8666666666666667,RandomForest_90
PETR4,1.01,2022-06-17,0.9,0.9066666666666666,0.9111111111111112,0.9152542372881356,0.9315068493150684,0.9213483146067416,0.9,0.9066666666666666,0.9111111111111112,RandomForest_75
PETR4,1.02,2022-06-20,0.7166666666666667,0.72,0.7528089887640449,1.0,0.8412698412698413,1.0,0.7166666666666667,0.864406779661017,0.7444444444444445,RandomForest_60 | RandomForest_90
PETR4,1.015,2022-06-20,0.85,0.8666666666666667,0.8666666666666667,1.0,0.9285714285714286,1.0,0.85,0.8666666666666667,0.8666666666666667,RandomForest_60 | RandomForest_90
PETR4,1.01,2022-06-20,0.9,0.9066666666666666,0.9090909090909092,0.9152542372881356,0.918918918918919,0.9647058823529412,0.9,0.9066666666666666,0.9111111111111112,RandomForest_90
PETR4,1.02,2022-06-21,0.7192982456140351,0.8113207547169812,0.7555555555555555,1.0,0.8571428571428571,1.0,0.7333333333333333,0.8666666666666667,0.7555555555555555,RandomForest_60 | RandomForest_90
