ativo|target|data|Close|Open|Low|High|ln_open|ln_high|log_return|log_return_binario|esmble_jan_tot|esmble_jan_par|in_precision
VALE3|1.02|2021-03-25|60.818144|61.212896|59.61415|61.377376|4.114357886274409|4.11704129819632|0.0026834119219110164|0|0|1|1.0
VALE3|1.02|2021-03-26|62.851117|61.67344|61.443168|62.982701|4.121853368216319|4.14286010138395|0.021006733167630465|1|0|1|1.0
VALE3|1.02|2021-03-29|64.463022|63.16034|63.07481|64.772244|4.145676572526847|4.17087717826397|0.025200605737122572|1|0|1|1.0
VALE3|1.02|2021-03-30|63.864314|64.416967|63.541934|64.80514|4.165377061143016|4.17138492120014|0.006007860057123615|0|0|0|0.0
VALE3|1.02|2021-03-31|64.456443|63.930106|63.620884|64.844616|4.157790392840768|4.171993884956615|0.014203492115846927|0|0|1|1.0
VALE3|1.02|2021-04-01|64.074849|64.80514|63.245869|65.041992|4.17138492120014|4.175033092076822|0.003648170876681789|0|0|1|1.0
VALE3|1.02|2021-04-05|68.02237|65.680174|65.660437|68.305276|4.184797114348946|4.223987011031089|0.03918989668214312|1|0|1|1.0
VALE3|1.02|2021-04-06|67.140757|68.292117|67.140757|68.792137|4.2237943426389375|4.231089450617253|0.0072951079783152295|0|0|1|1.0
VALE3|1.02|2021-04-07|68.792137|67.351292|67.206549|69.292156|4.209922086042828|4.238331710756307|0.028409624713479076|1|0|0|0.0
VALE3|1.02|2021-04-08|68.752662|69.042146|68.502652|69.278998|4.2347171297219885|4.23814180110109|0.003424671379101518|0|0|0|0.0
VALE3|1.02|2021-04-09|67.765781|68.423702|67.726306|68.857929|4.22571928507199|4.232045381942561|0.006326096870571618|0|0|0|1.0
VALE3|1.02|2021-04-12|68.028949|67.699989|67.246024|68.180271|4.21508601743668|4.2221552414745185|0.007069224037838495|0|1|1|1.0
VALE3|1.02|2021-04-13|68.147375|68.357909|67.667093|68.614498|4.224757269716371|4.228503853510325|0.0037465837939540947|0|0|0|1.0
VALE3|1.02|2021-04-14|70.397462|68.403964|68.27238|70.91064|4.225430776165656|4.2614204928004895|0.03598971663483308|1|0|1|1.0
VALE3|1.02|2021-04-15|71.193546|71.48961|70.759318|72.292272|4.269552124455445|4.280717235484988|0.011165111029542985|0|0|1|0.0
VALE3|1.02|2021-04-16|71.496189|71.476451|70.726422|71.785674|4.269368038806794|4.27368492968373|0.004316890876935986|0|0|0|0.0
VALE3|1.02|2021-04-19|70.877744|71.713303|70.818531|72.292272|4.272676267355275|4.280717235484988|0.008040968129712667|0|0|0|0.0
VALE3|1.02|2021-04-20|69.844809|71.022486|69.09478|71.285654|4.26299653112647|4.266695101004465|0.003698569877994551|0|0|1|0.0
VALE3|1.02|2021-04-22|69.890864|70.555363|68.647394|70.555363|4.25639769241889|4.25639769241889|0.0|0|1|1|1.0
VALE3|1.02|2021-04-23|71.048803|70.49615|70.042185|71.121174|4.255558098397969|4.264385098380991|0.00882699998302261|0|0|1|1.0
