ativo|target|data|Close|Open|Low|High|ln_open|ln_high|log_return|log_return_binario|esmble_jan_tot|esmble_jan_par|in_precision
ITUB4|1.01|2022-05-05|17.315578|17.538621|17.025622|17.538621|2.864405363556834|2.864405363556834|0.0|0|1|1|1.0
ITUB4|1.01|2022-05-06|17.687316|17.308143|17.300708|18.007011|2.8511770844038486|2.890761182060731|0.0395840976568822|1|1|1|1.0
ITUB4|1.01|2022-05-09|17.434534|17.650142|17.107404|17.769098|2.870743828672721|2.8774608811708706|0.006717052498149467|0|0|1|1.0
ITUB4|1.01|2022-05-10|17.345317|17.538621|17.22636|17.650142|2.864405363556834|2.870743828672721|0.006338465115887093|0|1|1|1.0
ITUB4|1.01|2022-05-11|17.925229|17.38249|17.375056|18.007011|2.855463377699629|2.890761182060731|0.03529780436110164|1|1|1|1.0
ITUB4|1.01|2022-05-12|18.20775|17.791403|17.791403|18.341576|2.878715363098735|2.909170395524565|0.03045503242582992|1|1|1|1.0
ITUB4|1.01|2022-05-13|18.423358|18.356445|18.215185|18.527445|2.909980738993149|2.9192531462787223|0.009272407285573436|0|0|1|1.0
ITUB4|1.01|2022-05-16|18.616662|18.475402|18.304402|18.817401|2.916440225731504|2.934782026852527|0.018341801121023238|1|0|1|1.0
ITUB4|1.01|2022-05-17|18.780227|18.854575|18.743053|19.047879|2.9367555900160793|2.9469557567914326|0.010200166775353292|1|1|1|1.0
ITUB4|1.01|2022-05-18|18.512575|18.720749|18.467967|18.86201|2.9296324809328005|2.937149846288025|0.0075173653552242925|0|0|1|1.0
ITUB4|1.01|2022-05-19|18.453097|18.527445|18.356445|18.683575|2.9192531462787223|2.927644795645976|0.008391649367253784|0|1|1|1.0
ITUB4|1.01|2022-05-20|18.683575|18.653836|18.475402|18.757923|2.926051808585956|2.9316162231630853|0.005564414577129195|0|1|1|1.0
ITUB4|1.01|2022-05-23|19.166835|18.802531|18.795097|19.3304|2.9339914884339877|2.9616789862291073|0.027687497795119587|1|1|1|1.0
ITUB4|1.01|2022-05-24|19.456791|19.092487|18.995835|19.553443|2.9492949068845307|2.9731513834573526|0.023856476572821972|1|1|1|1.0
ITUB4|1.01|2022-05-25|19.107357|19.367574|19.077618|19.427052|2.9636002243504924|2.9666665277401463|0.003066303389653857|0|1|1|1.0
ITUB4|1.01|2022-05-26|19.34527|19.129661|19.122226|19.456791|2.951240062437853|2.968196160796146|0.016956098358293037|1|1|1|1.0
ITUB4|1.01|2022-05-27|19.449356|19.375009|19.233748|19.64266|2.963984039755432|2.9777037316373116|0.013719691881879825|1|1|1|1.0
ITUB4|1.01|2022-05-30|19.270922|19.531139|19.270922|19.65753|2.9720100637205253|2.9784604710174327|0.006450407296907379|0|1|1|1.0
ITUB4|1.01|2022-05-31|19.449356|19.479095|19.34527|19.627791|2.969341839229643|2.976946470117165|0.007604630887521946|0|1|1|1.0
ITUB4|1.01|2022-06-01|19.179781|19.559211|19.179781|19.58153|2.973446326369783|2.974586775009682|0.0011404486398993718|0|0|1|1.0
ITUB4|1.01|2022-06-02|19.261619|19.358336|18.964027|19.402975|2.9631231277412593|2.965426404827758|0.0023032770864985785|0|1|1|1.0
ITUB4|1.01|2022-06-03|19.083064|19.157462|19.030986|19.313698|2.9526923003031014|2.960814585096496|0.00812228479339483|0|0|1|0.0
ITUB4|1.01|2022-06-06|19.016106|19.23186|19.016106|19.328577|2.9565682787921914|2.9615846743697243|0.005016395577532862|0|0|0|0.0
