data,PETR4_esmble_jan_tot,PETR4_rend_decisao_esmble_jan_tot,PETR4_esmble_jan_par,PETR4_rend_decisao_esmble_jan_par,PETR4_in_precision,PETR4_rend_decisao_in_precision,VALE3_esmble_jan_tot,VALE3_rend_decisao_esmble_jan_tot,VALE3_esmble_jan_par,VALE3_rend_decisao_esmble_jan_par,VALE3_in_precision,VALE3_rend_decisao_in_precision,ITUB4_esmble_jan_tot,ITUB4_rend_decisao_esmble_jan_tot,ITUB4_esmble_jan_par,ITUB4_rend_decisao_esmble_jan_par,ITUB4_in_precision,ITUB4_rend_decisao_in_precision
2020-12-15,1,0.0068344649712802,1,0.0068344649712802,1.0,0.0068344649712802,1,0.0021126857325114,1,0.0089813234109492,1.0,0.0089813234109492,1,0.0073788893197266,1,0.0073788893197266,1.0,0.0073788893197266
2020-12-16,1,0.0158272457062615,1,0.0158272457062615,1.0,0.0158272457062615,1,0.0120892023527712,1,0.0190262206424248,1.0,0.0190262206424248,1,0.0324029464129324,1,0.0324029464129324,1.0,0.0324029464129324
2020-12-17,0,0.0212230351155143,0,0.0212230351155143,0.0,0.0212230351155143,0,0.0322770115962342,1,0.0167630161507692,1.0,0.0167630161507692,1,0.0081530597779931,1,0.0081530597779931,1.0,0.0081530597779931
2020-12-18,0,0.0,0,0.0,0.0,0.0,0,0.0,1,0.0217341136927524,1.0,0.0217341136927524,1,0.007212291776472,1,0.007212291776472,1.0,0.007212291776472
2020-12-21,0,0.0,0,0.0,0.0,0.0,1,0.0,1,0.0145095616707306,1.0,0.0145095616707306,1,-0.0122295107964327,1,-0.0122295107964327,1.0,-0.0122295107964327
2020-12-22,0,0.0,1,0.0,1.0,0.0,1,0.0014966691554157,1,0.0097504368004081,1.0,0.0097504368004081,1,-0.0075258285299411,1,-0.0075258285299411,1.0,-0.0075258285299411
2020-12-23,0,0.0,1,0.0298942930559238,0.0,0.0298942930559238,0,0.0077135617759735,1,0.0160185655246338,1.0,0.0160185655246338,1,0.023307781233134,1,0.023307781233134,1.0,0.023307781233134
2020-12-28,0,0.0,0,0.0056416621398898,0.0,0.0,0,0.0198019773010572,1,0.028206606915697,1.0,0.028206606915697,0,0.0065177198035169,1,0.0065177198035169,1.0,0.0065177198035169
2020-12-29,1,0.0,1,0.0024682345974274,1.0,0.0,1,0.015427123551947,1,0.0026145205616284,1.0,0.0026145205616284,0,0.0052762617556655,0,0.0052762617556655,0.0,0.0052762617556655
2020-12-30,0,0.0049383293047512,1,0.0045839320121428,1.0,0.0049383293047512,1,0.0045876949780385,1,-0.0043196520877325,1.0,-0.0043196520877325,0,0.0034140486629696,0,0.0034140486629696,0.0,0.0034140486629696
2021-01-04,1,0.0292769584133385,1,0.0289139779629279,1.0,0.0292769584133385,1,0.0492028938272818,1,0.0398999585390536,1.0,0.0398999585390536,1,-0.0066675482554041,1,-0.0066675482554041,1.0,-0.0066675482554041
2021-01-05,1,0.0442905570201895,1,0.0442905570201895,1.0,0.0442905570201895,0,0.0168379675257447,1,0.0168379675257447,1.0,0.0168379675257447,1,0.0107386821239813,1,0.0107386821239813,1.0,0.0107386821239813
