ativo|target|data|Close|Open|Low|High|ln_open|ln_high|log_return|log_return_binario|esmble_jan_tot|esmble_jan_par|in_precision|compra_esmble_jan_tot|rend_decisao_esmble_jan_tot|dias_esmble_jan_tot|venda_esmble_jan_tot|compra_esmble_jan_par|rend_decisao_esmble_jan_par|dias_esmble_jan_par|venda_esmble_jan_par|compra_in_precision|rend_decisao_in_precision|dias_in_precision|venda_in_precision
VALE3|1.01|2020-07-15|37.339535|37.647726|36.493518|38.028434|3.6282725540154703|3.638334143074976|0.010061589059505|1|0|0|0.0|37.647726|0.01011237703971811|0.0|38.02420326|37.647726|0.01011237703971811|0.0|38.02420326|37.647726|0.01011237703971811|0.0|38.02420326
VALE3|1.01|2020-07-16|36.330358|37.043429|36.167198|37.279105|3.6120909810870754|3.618432982018476|0.0063420009314003|0|0|1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
VALE3|1.01|2020-07-17|36.886312|36.559991|36.451218|37.013214|3.5989545004152403|3.6112749840217866|0.0123204836065462|1|1|1|1.0|0.0|0.0|0.0|0.0|36.559991|0.012396693423693712|0.0|36.92559091|0.0|0.0|0.0|0.0
VALE3|1.01|2020-07-20|36.74128|36.934656|36.469347|37.158246|3.6091502972781977|3.61518571153991|0.0060354142617122|0|0|1|0.0|36.934656|0.006053664070947392|1.0|0.0|36.934656|0.006053664070947392|1.0|0.0|36.934656|0.006053664070947392|1.0|0.0
VALE3|1.01|2020-07-21|36.076553|36.523733|35.816705|36.547905|3.597962268465628|3.5986238658115557|0.0006615973459278|0|0|1|1.0|36.934656|-0.010471222474631867|2.0|0.0|36.934656|-0.010471222474631867|2.0|0.0|36.934656|-0.010471222474631867|2.0|0.0
VALE3|1.01|2020-07-22|35.798577|36.215542|35.532686|36.408917|3.5894883637095343|3.5948137171692975|0.0053253534597632|0|1|1|1.0|36.934656|-0.014234300706631583|3.0|0.0|36.934656|-0.014234300706631583|3.0|0.0|36.934656|-0.014234300706631583|3.0|0.0
VALE3|1.01|2020-07-23|35.562901|36.197413|35.435998|36.35453|3.588987652189648|3.593318817948035|0.0043311657583871|0|1|1|1.0|36.934656|-0.0157068201745266|4.0|35.562901|36.934656|-0.0157068201745266|4.0|35.562901|36.934656|-0.0157068201745266|4.0|35.562901
VALE3|1.01|2020-07-24|35.411826|35.393697|34.940474|35.562901|3.5665337534393373|3.571302987745648|0.0047692343063108|0|1|1|1.0|35.393697|0.004780625205668497|1.0|0.0|35.393697|0.004780625205668497|1.0|0.0|35.393697|0.004780625205668497|1.0|0.0
VALE3|1.01|2020-07-27|37.08573|35.713975|35.641459|37.242847|3.575542068769088|3.617459899540416|0.0419178307713279|1|1|1|1.0|35.393697|0.0522451780044338|0.0|35.74763397|35.393697|0.0522451780044338|0.0|35.74763397|35.393697|0.0522451780044338|0.0|35.74763397
VALE3|1.01|2020-07-28|36.463304|36.680851|36.378702|36.958827|3.6022548477734406|3.609804509256867|0.0075496614834262|0|1|1|1.0|36.680851|0.007578232031748731|1.0|0.0|36.680851|0.007578232031748731|1.0|0.0|36.680851|0.007578232031748731|1.0|0.0
VALE3|1.01|2020-07-29|38.04052|36.989042|36.771495|38.04052|3.610621706617388|3.638651907404999|0.0280302007876112|1|1|1|1.0|36.680851|0.03706754240789026|0.0|37.047659509999995|36.680851|0.03706754240789026|0.0|37.047659509999995|36.680851|0.03706754240789026|0.0|37.047659509999995
VALE3|1.01|2020-07-30|37.0253|37.647726|36.650636|37.690027|3.6282725540154703|3.6293955236491775|0.0011229696337067|0|1|1|1.0|37.647726|0.001123600400194209|1.0|0.0|37.647726|0.001123600400194209|1.0|0.0|37.647726|0.001123600400194209|1.0|0.0
VALE3|1.01|2020-07-31|36.686894|36.92257|36.559991|37.59334|3.6088230171794873|3.6268269070473176|0.0180038898678303|1|1|1|1.0|37.647726|-0.001444602523934671|2.0|0.0|37.647726|-0.001444602523934671|2.0|0.0|37.647726|-0.001444602523934671|2.0|0.0
VALE3|1.01|2020-08-03|36.41496|37.381836|36.41496|37.871317|3.621184917996167|3.634194018177235|0.0130091001810681|1|1|1|1.0|37.647726|0.005939030686740522|3.0|0.0|37.647726|0.005939030686740522|3.0|0.0|37.647726|0.005939030686740522|3.0|0.0
VALE3|1.01|2020-08-04|36.680851|36.41496|35.871092|36.765452|3.5949796792208337|3.604558599874257|0.0095789206534231|0|1|1|1.0|37.647726|-0.023434987813075226|4.0|36.680851|37.647726|-0.023434987813075226|4.0|36.680851|37.647726|-0.023434987813075226|4.0|36.680851
VALE3|1.01|2020-08-05|37.581254|37.406008|37.375793|38.010305|3.6218313332302183|3.6378573071731206|0.0160259739429022|1|0|1|1.0|37.406008|0.01615507861731737|0.0|37.78006808|37.406008|0.01615507861731737|0.0|37.78006808|37.406008|0.01615507861731737|0.0|37.78006808
VALE3|1.01|2020-08-06|37.363707|37.841102|37.031343|37.998219|3.6333958663811865|3.6375392902069743|0.0041434238257878|0|0|1|1.0|0.0|0.0|0.0|0.0|37.841102|0.004152019674268459|1.0|0.0|37.841102|0.004152019674268459|1.0|0.0
