ativo|target|data|Close|Open|Low|High|ln_open|ln_high|log_return|log_return_binario|esmble_jan_tot|esmble_jan_par|in_precision|compra_esmble_jan_tot|rend_decisao_esmble_jan_tot|dias_esmble_jan_tot|venda_esmble_jan_tot|compra_esmble_jan_par|rend_decisao_esmble_jan_par|dias_esmble_jan_par|venda_esmble_jan_par|compra_in_precision|rend_decisao_in_precision|dias_in_precision|venda_in_precision
PETR4|1.02|2020-12-04|8.186343|8.085241|8.046584|8.198238|2.090040300871763|2.1039192531318314|0.0138789522600681|0|0|1|1.0|0.0|0.0|0.0|0.0|8.085241|0.013975712041236621|1.0|0.0|8.085241|0.013975712041236621|1.0|0.0
PETR4|1.02|2020-12-07|8.028742|8.109029|7.930613|8.263657|2.0929781322293017|2.1118672256316695|0.0188890934023677|0|0|1|1.0|0.0|0.0|0.0|0.0|8.085241|0.022066874691799583|0.0|8.24694582|8.085241|0.022066874691799583|0.0|8.24694582
PETR4|1.02|2020-12-08|7.927639|7.972244|7.868167|8.070373|2.075966009007097|2.0881997017837324|0.0122336927766353|0|1|1|1.0|0.0|0.0|0.0|0.0|7.972244|0.012308830487375967|1.0|0.0|7.972244|0.012308830487375967|1.0|0.0
PETR4|1.02|2020-12-09|8.0109|7.918719|7.850326|8.019821|2.0692294503203756|2.081916102427351|0.0126866521069755|0|0|1|1.0|7.918719|0.012767469081804775|1.0|0.0|7.972244|0.005967830387529587|2.0|0.0|7.972244|0.005967830387529587|2.0|0.0
PETR4|1.02|2020-12-10|8.272578|8.085241|8.067399|8.385575|2.090040300871763|2.1265129677600423|0.0364726668882791|1|1|1|1.0|7.918719|0.058956000332882|0.0|8.07709338|7.972244|0.051846255583747745|0.0|8.13168888|7.972244|0.051846255583747745|0.0|8.13168888
PETR4|1.02|2020-12-11|8.198238|8.174449|8.112003|8.278525|2.101013313900173|2.1136648124317183|0.0126514985315453|0|0|1|1.0|8.174449|0.01273186730995581|1.0|0.0|8.174449|0.01273186730995581|1.0|0.0|8.174449|0.01273186730995581|1.0|0.0
PETR4|1.02|2020-12-14|8.213106|8.335024|8.213106|8.40639|2.120466395622727|2.1289921309385247|0.0085257353157977|0|1|1|1.0|8.174449|0.028373900185810794|0.0|8.33793798|8.174449|0.028373900185810794|0.0|8.33793798|8.174449|0.028373900185810794|0.0|8.33793798
PETR4|1.02|2020-12-15|8.281499|8.266631|8.219053|8.323129|2.11222704997739|2.119038265862878|0.006811215885488|0|1|1|1.0|8.266631|0.006834464971280258|1.0|0.0|8.266631|0.006834464971280258|1.0|0.0|8.266631|0.006834464971280258|1.0|0.0
PETR4|1.02|2020-12-16|8.382601|8.281499|8.168502|8.397469|2.114023990658993|2.1279303509226235|0.0139063602636304|0|1|1|1.0|8.266631|0.015827245706261584|2.0|0.0|8.266631|0.015827245706261584|2.0|0.0|8.266631|0.015827245706261584|2.0|0.0
PETR4|1.02|2020-12-17|8.397469|8.415311|8.346918|8.442074|2.130052784773275|2.1332280130172214|0.0031752282439465|0|0|0|0.0|8.266631|0.021223035115514356|0.0|8.431963620000001|8.266631|0.021223035115514356|0.0|8.431963620000001|8.266631|0.021223035115514356|0.0|8.431963620000001
