ativo,target,janela,data,target_real,resultado_real,RNA,Random Forest,SVC,ensemble_tecnicas
ITUB4,1.01,60,2020-11-30,1,0.062994829341191,1,1,1,1
ITUB4,1.01,60,2020-12-01,1,0.038101594443231,1,1,1,1
ITUB4,1.01,60,2020-12-02,1,0.0328467293667715,1,1,1,1
ITUB4,1.01,60,2020-12-03,1,0.0301124968107175,1,1,1,1
ITUB4,1.01,60,2020-12-04,1,0.0485950358689428,1,1,1,1
ITUB4,1.01,60,2020-12-07,1,0.0420499401720753,1,1,1,1
ITUB4,1.01,60,2020-12-08,1,0.043764374806493,1,1,1,1
ITUB4,1.01,60,2020-12-09,1,0.0312093812058198,1,1,1,1
ITUB4,1.01,60,2020-12-10,1,0.0324029464129325,1,1,1,1
ITUB4,1.01,60,2020-12-11,1,0.0225611366906675,1,1,1,1
ITUB4,1.01,60,2020-12-14,1,0.0390700816184832,1,1,1,1
ITUB4,1.01,60,2020-12-15,1,0.0300895949027364,1,1,1,1
ITUB4,1.01,60,2020-12-16,0,-0.0200689812405855,1,1,1,1
ITUB4,1.01,60,2020-12-17,1,0.0126103233473171,1,1,1,1
ITUB4,1.01,60,2020-12-18,1,0.0444444396441925,1,1,1,1
ITUB4,1.01,60,2020-12-21,1,0.0404235016713008,1,1,1,1
ITUB4,1.01,60,2020-12-22,1,0.0354406164626421,1,1,1,1
ITUB4,1.01,60,2020-12-23,0,-0.0405135301232991,1,1,1,1
ITUB4,1.01,60,2020-12-28,0,-0.0482008225666257,1,1,1,1
ITUB4,1.01,60,2020-12-29,0,-0.0197216823578263,1,1,1,1
ITUB4,1.01,60,2020-12-30,1,0.0337711057619314,1,0,1,0
ITUB4,1.01,60,2021-01-04,1,0.0881874005782368,1,1,1,1
ITUB4,1.01,60,2021-01-05,1,0.0794060470569981,1,1,1,1
ITUB4,1.01,60,2021-01-06,1,0.0565560590595639,1,1,1,1
ITUB4,1.01,60,2021-01-07,1,0.015487388545561,1,1,1,1
ITUB4,1.01,60,2021-01-08,1,0.0144749137059647,1,0,1,0
ITUB4,1.01,60,2021-01-11,1,0.023617181899169,1,1,1,1
ITUB4,1.01,60,2021-01-12,1,0.023617181899169,1,1,1,1
ITUB4,1.01,60,2021-01-13,1,0.0287320828497581,1,1,1,1
ITUB4,1.01,60,2021-01-14,1,0.0106084357419229,1,1,1,1
