ativo,target,janela,data,target_real,resultado_real,RNA,Random Forest,SVC,ensemble_tecnicas
PETR4,1.01,60,2021-03-24,1,0.01,1,1,1,1
PETR4,1.01,60,2021-03-25,1,0.01,1,1,1,1
PETR4,1.01,60,2021-03-26,1,0.01,1,1,1,1
PETR4,1.01,60,2021-03-29,1,0.01,1,1,1,1
PETR4,1.01,60,2021-03-30,1,0.01,1,1,1,1
PETR4,1.01,60,2021-03-31,0,-0.0119389817987084,1,1,1,1
PETR4,1.01,60,2021-04-01,0,-0.0178202579760587,1,1,1,1
PETR4,1.01,60,2021-04-05,0,-0.0219190465892045,1,1,1,1
PETR4,1.01,60,2021-04-06,1,0.01,1,0,1,0
PETR4,1.01,60,2021-04-07,1,0.01,1,0,1,0
PETR4,1.01,60,2021-04-08,1,0.01,1,1,1,1
PETR4,1.01,60,2021-04-09,1,0.01,1,1,1,1
PETR4,1.01,60,2021-04-12,1,0.01,1,1,1,1
PETR4,1.01,60,2021-04-13,1,0.01,1,1,1,1
PETR4,1.01,60,2021-04-14,1,0.01,1,1,1,1
PETR4,1.01,60,2021-04-15,1,0.01,1,1,1,1
PETR4,1.01,60,2021-04-16,1,0.01,1,1,1,1
PETR4,1.01,60,2021-04-19,1,0.01,1,1,1,1
PETR4,1.01,60,2021-04-20,0,-0.0430820900039322,1,1,1,1
PETR4,1.01,60,2021-04-22,1,0.01,1,1,1,1
PETR4,1.01,60,2021-04-23,1,0.01,1,1,1,1
PETR4,1.01,60,2021-04-26,1,0.01,1,1,1,1
PETR4,1.01,60,2021-04-27,1,0.01,1,1,1,1
PETR4,1.01,60,2021-04-28,0,-0.050994995845274,1,1,1,1
PETR4,1.01,60,2021-04-29,1,0.01,1,1,1,1
PETR4,1.01,60,2021-04-30,0,-0.0126049656090858,1,1,1,1
PETR4,1.01,60,2021-05-03,1,0.01,1,1,1,1
PETR4,1.01,60,2021-05-04,1,0.01,1,1,1,1
PETR4,1.01,60,2021-05-05,1,0.01,1,1,1,1
PETR4,1.01,60,2021-05-06,1,0.01,1,1,1,1
PETR4,1.01,60,2021-05-07,1,0.01,1,1,1,1
PETR4,1.01,60,2021-05-10,1,0.01,1,0,1,0
PETR4,1.01,60,2021-05-11,1,0.01,1,1,1,1
PETR4,1.01,60,2021-05-12,1,0.01,1,1,1,1
PETR4,1.01,60,2021-05-13,1,0.01,1,1,1,1
PETR4,1.01,60,2021-05-14,1,0.01,1,1,1,1
PETR4,1.01,60,2021-05-17,0,-0.0280898992805616,1,1,1,1
PETR4,1.01,60,2021-05-18,1,0.01,1,0,1,0
PETR4,1.01,60,2021-05-19,1,0.01,1,0,1,0
PETR4,1.01,60,2021-05-20,1,0.01,1,0,1,0
