ativo,target,data,RNA_60,RNA_75,RNA_90,RandomForest_60,RandomForest_75,RandomForest_90,SVC_60,SVC_75,SVC_90,melhor_precision
VALE3,1.02,2020-09-16,0.8181818181818182,0.76,0.6666666666666666,0.8461538461538461,1.0,0.8857142857142857,0.7333333333333333,0.76,0.6888888888888889,RandomForest_75
VALE3,1.02,2020-09-17,0.782608695652174,0.7466666666666667,0.684931506849315,0.9361702127659576,0.8615384615384616,1.0,0.7333333333333333,0.7466666666666667,0.6888888888888889,RandomForest_90
VALE3,1.02,2020-09-18,0.75,0.76,0.7761194029850746,1.0,0.8382352941176471,0.9545454545454546,0.75,0.76,0.7,RandomForest_60
VALE3,1.02,2020-09-21,0.75,0.7428571428571429,0.7058823529411765,0.8181818181818182,0.9491525423728814,0.8985507246376812,0.75,0.7466666666666667,0.7,RandomForest_75
VALE3,1.02,2020-09-22,0.75,0.7323943661971831,0.7272727272727273,0.8181818181818182,0.84375,1.0,0.75,0.7333333333333333,0.7,RandomForest_90
VALE3,1.02,2020-09-23,0.7333333333333333,0.72,0.7,0.8461538461538461,0.8571428571428571,1.0,0.7333333333333333,0.72,0.7,RandomForest_90
VALE3,1.02,2020-09-24,0.75,0.7605633802816901,0.725,0.8181818181818182,0.8153846153846154,0.9,0.75,0.72,0.7111111111111111,RandomForest_90
VALE3,1.02,2020-09-25,0.7115384615384616,0.7222222222222222,0.7241379310344828,0.8301886792452831,0.84375,1.0,0.7333333333333333,0.72,0.7,RandomForest_90
VALE3,1.02,2020-09-28,0.7592592592592593,0.7162162162162162,0.7191011235955056,0.8490566037735849,0.8387096774193549,0.9,0.75,0.72,0.7111111111111111,RandomForest_90
VALE3,1.02,2020-09-29,0.7678571428571429,0.7428571428571429,0.7111111111111111,0.8490566037735849,0.85,0.9696969696969696,0.75,0.7066666666666667,0.7111111111111111,RandomForest_90
VALE3,1.02,2020-09-30,0.7666666666666667,0.72,0.7222222222222222,0.8518518518518519,0.8571428571428571,1.0,0.7666666666666667,0.72,0.7222222222222222,RandomForest_90
VALE3,1.02,2020-10-01,0.7833333333333333,0.6428571428571429,0.7333333333333333,0.8392857142857143,0.8852459016393442,0.868421052631579,0.7833333333333333,0.7333333333333333,0.7333333333333333,RandomForest_75
VALE3,1.02,2020-10-02,0.7796610169491526,0.72,0.7222222222222222,0.8392857142857143,0.9,1.0,0.7833333333333333,0.72,0.7222222222222222,RandomForest_90
VALE3,1.02,2020-10-05,0.7818181818181819,0.711864406779661,0.7285714285714285,0.8392857142857143,0.8793103448275862,1.0,0.7833333333333333,0.7066666666666667,0.7111111111111111,RandomForest_90
VALE3,1.02,2020-10-06,0.7833333333333333,0.6785714285714286,0.7111111111111111,1.0,0.896551724137931,0.9846153846153848,0.7833333333333333,0.7066666666666667,0.7111111111111111,RandomForest_60
VALE3,1.02,2020-10-07,0.7833333333333333,0.7777777777777778,0.7023809523809523,0.8245614035087719,0.981132075471698,1.0,0.7833333333333333,0.6933333333333334,0.7111111111111111,RandomForest_90
VALE3,1.02,2020-10-08,0.7796610169491526,0.7761194029850746,0.6987951807228916,0.8518518518518519,1.0,0.9142857142857144,0.7666666666666667,0.6933333333333334,0.7111111111111111,RandomForest_75
VALE3,1.02,2020-10-09,0.7666666666666667,0.7142857142857143,0.7111111111111111,0.8679245283018868,1.0,0.927536231884058,0.7666666666666667,0.6933333333333334,0.7111111111111111,RandomForest_75
VALE3,1.02,2020-10-13,0.7727272727272727,0.7121212121212122,0.6976744186046512,0.9375,1.0,1.0,0.75,0.6933333333333334,0.7111111111111111,RandomForest_75 | RandomForest_90
