ativo|target|data|Close|Open|Low|High|ln_open|ln_high|log_return|log_return_binario|esmble_jan_tot|esmble_jan_par|in_precision|compra_esmble_jan_tot|rend_decisao_esmble_jan_tot|dias_esmble_jan_tot|venda_esmble_jan_tot|compra_esmble_jan_par|rend_decisao_esmble_jan_par|dias_esmble_jan_par|venda_esmble_jan_par|compra_in_precision|rend_decisao_in_precision|dias_in_precision|venda_in_precision|dinheiro_esmble_jan_tot|investido_esmble_jan_tot|qtde_ativos_esmble_jan_tot|capital_teorico_esmble_jan_tot|dinheiro_esmble_jan_par|investido_esmble_jan_par|qtde_ativos_esmble_jan_par|capital_teorico_esmble_jan_par|dinheiro_in_precision|investido_in_precision|qtde_ativos_in_precision|capital_teorico_in_precision
VALE3|1.01|2020-07-28|36.463304|36.680851|36.378702|36.958827|3.6022548477734406|3.609804509256867|0.0075496614834262|0|1|1|1.0|36.680851|0.0075782320317487|1.0|0.0|36.680851|0.0075782320317487|1.0|0.0|36.680851|0.0075782320317487|1.0|0.0|0.0|1019.4917369263941|27.793568282436908|1019.4917369263941|0.0|1019.4917369263943|27.793568282436915|1019.4917369263943|0.0|1009.3977593330635|27.518384438056348|1009.3977593330635
VALE3|1.01|2020-07-29|38.04052|36.989042|36.771495|38.04052|3.610621706617388|3.638651907404999|0.0280302007876112|1|1|1|1.0|36.680851|0.0370675424078902|0.0|37.047659509999995|36.680851|0.0370675424078902|0.0|37.047659509999995|36.680851|0.0370675424078902|0.0|37.047659509999995|0.0|1019.4917369263941|27.793568282436908|1019.4917369263941|0.0|1019.4917369263943|27.793568282436915|1019.4917369263943|0.0|1009.3977593330635|27.518384438056348|1009.3977593330635
VALE3|1.01|2020-07-30|37.0253|37.647726|36.650636|37.690027|3.6282725540154703|3.6293955236491775|0.0011229696337067|0|1|1|1.0|37.647726|0.0011236004001942|1.0|0.0|37.647726|0.0011236004001942|1.0|0.0|37.647726|0.0011236004001942|1.0|0.0|0.0|1029.686654295658|27.350567051397952|1029.686654295658|0.0|1029.6866542956582|27.350567051397956|1029.6866542956582|0.0|1019.4917369263941|27.079769357819757|1019.4917369263941
VALE3|1.01|2020-07-31|36.686894|36.92257|36.559991|37.59334|3.6088230171794873|3.6268269070473176|0.0180038898678303|1|1|1|1.0|37.647726|-0.0014446025239346|2.0|0.0|37.647726|-0.0014446025239346|2.0|0.0|37.647726|-0.0014446025239346|2.0|0.0|0.0|1029.686654295658|27.350567051397952|1029.686654295658|0.0|1029.6866542956582|27.350567051397956|1029.6866542956582|0.0|1019.4917369263941|27.079769357819757|1019.4917369263941
VALE3|1.01|2020-08-03|36.41496|37.381836|36.41496|37.871317|3.621184917996167|3.634194018177235|0.0130091001810681|1|1|1|1.0|37.647726|0.0059390306867405|3.0|0.0|37.647726|0.0059390306867405|3.0|0.0|37.647726|0.0059390306867405|3.0|0.0|0.0|1029.686654295658|27.350567051397952|1029.686654295658|0.0|1029.6866542956582|27.350567051397956|1029.6866542956582|0.0|1019.4917369263941|27.079769357819757|1019.4917369263941
VALE3|1.01|2020-08-04|36.680851|36.41496|35.871092|36.765452|3.5949796792208337|3.604558599874257|0.0095789206534231|0|1|1|1.0|37.647726|-0.0234349878130752|4.0|36.680851|37.647726|-0.0234349878130752|4.0|36.680851|37.647726|-0.0234349878130752|4.0|36.680851|0.0|1029.686654295658|27.350567051397952|1029.686654295658|0.0|1029.6866542956582|27.350567051397956|1029.6866542956582|0.0|1019.4917369263941|27.079769357819757|1019.4917369263941
VALE3|1.01|2020-08-05|37.581254|37.406008|37.375793|38.010305|3.6218313332302183|3.6378573071731206|0.0160259739429022|1|0|1|1.0|37.406008|0.0161550786173173|0.0|37.78006808|37.406008|0.0161550786173173|0.0|37.78006808|37.406008|0.0161550786173173|0.0|37.78006808|0.0|1003.2420747778375|26.820345939557022|1003.2420747778375|0.0|1003.2420747778377|26.82034593955703|1003.2420747778377|0.0|993.3089849285521|26.55479795995745|993.3089849285521
VALE3|1.01|2020-08-06|37.363707|37.841102|37.031343|37.998219|3.6333958663811865|3.6375392902069743|0.0041434238257878|0|0|1|1.0|0.0|0.0|0.0|0.0|37.841102|0.0041520196742684|1.0|0.0|37.841102|0.0041520196742684|1.0|0.0|1013.2744955256159|0.0|0.0|1013.2744955256159|0.0|1013.2744955256161|26.777087398924486|1013.2744955256161|0.0|1003.2420747778376|26.511967721707407|1003.2420747778376
VALE3|1.01|2020-08-07|36.529776|37.097816|36.124897|37.097816|3.613558099956077|3.613558099956077|0.0|0|0|1|1.0|0.0|0.0|0.0|0.0|37.841102|-0.0196422926583902|2.0|0.0|37.841102|-0.0196422926583902|2.0|0.0|1013.2744955256159|0.0|0.0|1013.2744955256159|0.0|1013.2744955256161|26.777087398924486|1013.2744955256161|0.0|1003.2420747778376|26.511967721707407|1003.2420747778376
VALE3|1.01|2020-08-10|37.587297|36.680851|36.505604|37.587297|3.6022548477734406|3.626666147568437|0.0244112997949965|1|1|1|1.0|0.0|0.0|0.0|0.0|37.841102|-0.0067071249669208|3.0|0.0|37.841102|-0.0067071249669208|3.0|0.0|1013.2744955256159|0.0|0.0|1013.2744955256159|0.0|1013.2744955256161|26.777087398924486|1013.2744955256161|0.0|1003.2420747778376|26.511967721707407|1003.2420747778376
